;Question;Answer;BT_Level
1761;for whose benefit was the first of these concerts performed for on 2 april 1833 ?;the first , on 2 april 1833 , was at a benefit concert organized by hector berlioz for his bankrupt shakespearean actress wife harriet smithson , during which they played george onslow 's sonata in f minor for piano duet .;Application
1762;at which two establishments was the last of these performances conducted at on 25 and 26 april 1841 ?;their last appearance together in public was for a charity concert conducted for the beethoven memorial in bonn , held at the salle pleyel and the paris conservatory on 25 and 26 april 1841 .;Analysis
1763;when was the first time liszt and chopin performed together ?;the first , on 2 april 1833 , was at a benefit concert organized by hector berlioz for his bankrupt shakespearean actress wife harriet smithson , during which they played george onslow 's sonata in f minor for piano duet .;Knowledge
1764;what was the charity that liszt and chopin last performed for ?;their last appearance together in public was for a charity concert conducted for the beethoven memorial in bonn , held at the salle pleyel and the paris conservatory on 25 and 26 april 1841 .;Knowledge
1765;where did liszt and chopin last perform together ?;their last appearance together in public was for a charity concert conducted for the beethoven memorial in bonn , held at the salle pleyel and the paris conservatory on 25 and 26 april 1841 .;Evaluation
1766;when liszt lived close to chopin , where did he call home ?;the two became friends , and for many years lived in close proximity in paris , chopin at 38 rue de la chaussée-d'antin , and liszt at the hôtel de france on the rue lafitte , a few blocks away .;Evaluation
1767;how many times did chopin and liszy perform together in public ?;they performed together on seven occasions between 1833 and 1841 .;Knowledge
1768;who did the first concert of chopin and liszt benefit ?;the first , on 2 april 1833 , was at a benefit concert organized by hector berlioz for his bankrupt shakespearean actress wife harriet smithson , during which they played george onslow 's sonata in f minor for piano duet .;Evaluation
1769;what term describes the qualities of the relationship between frédéric and liszt ?;although the two displayed great respect and admiration for each other , their friendship was uneasy and had some qualities of a love-hate relationship .;Comprehension
1770;what three qualities of liszt are stated to have captivated frédéric ?;harold c. schonberg believes that chopin displayed a `` tinge of jealousy and spite '' towards liszt 's virtuosity on the piano , and others have also argued that he had become enchanted with liszt 's theatricality , showmanship and success .;Knowledge
1771;what did frédéric receive from liszt when the latter performed a nocturne with certain embellishments added ?;however , chopin expressed annoyance in 1843 when liszt performed one of his nocturnes with the addition of numerous intricate embellishments , at which chopin remarked that he should play the music as written or not play it at all , forcing an apology .;Comprehension
1772;what did frédéric introduce liszt as in when referring to him in his letters up to 1848 ?;most biographers of chopin state that after this the two had little to do with each other , although in his letters dated as late as 1848 he still referred to him as `` my friend liszt '' .;Application
1773;what piece did chopin dedicate to liszt ?;liszt was the dedicatee of chopin 's op. 10 études , and his performance of them prompted the composer to write to hiller , `` i should like to rob him of the way he plays my studies . '';Knowledge
1774;what was the name of liszt 's mistress ?;"some commentators point to events in the two men 's romantic lives which led to a rift between them ; there are claims that liszt had displayed jealousy of his mistress marie d'agoult 's obsession with chopin , while others believe that chopin had become concerned about liszt 's growing relationship with george sand .";Knowledge
1775;who did chopin dedicate the op. 10 études to ?;harold c. schonberg believes that chopin displayed a `` tinge of jealousy and spite '' towards liszt 's virtuosity on the piano , and others have also argued that he had become enchanted with liszt 's theatricality , showmanship and success .;Knowledge
1776;who apologized to chopin for adding embellishments to a musical piece he perforemed that was written by chopin ?;harold c. schonberg believes that chopin displayed a `` tinge of jealousy and spite '' towards liszt 's virtuosity on the piano , and others have also argued that he had become enchanted with liszt 's theatricality , showmanship and success .;Synthesis
1777;who did chopin write to displaying his desire to take away a performers ability to play his music ?;liszt was the dedicatee of chopin 's op. 10 études , and his performance of them prompted the composer to write to hiller , `` i should like to rob him of the way he plays my studies . '';Comprehension
